date,fng_value,fng_classification
04-11-2022,30,Fear
03-11-2022,30,Fear
02-11-2022,30,Fear
01-11-2022,30,Fear
31-10-2022,31,Fear
30-10-2022,34,Fear
29-10-2022,34,Fear
28-10-2022,30,Fear
27-10-2022,32,Fear
26-10-2022,33,Fear
25-10-2022,20,Extreme Fear
24-10-2022,22,Extreme Fear
23-10-2022,23,Extreme Fear
22-10-2022,20,Extreme Fear
21-10-2022,23,Extreme Fear
20-10-2022,23,Extreme Fear
19-10-2022,23,Extreme Fear
18-10-2022,22,Extreme Fear
17-10-2022,20,Extreme Fear
16-10-2022,24,Extreme Fear
15-10-2022,24,Extreme Fear
14-10-2022,24,Extreme Fear
13-10-2022,20,Extreme Fear
12-10-2022,20,Extreme Fear
11-10-2022,24,Extreme Fear
10-10-2022,22,Extreme Fear
09-10-2022,22,Extreme Fear
08-10-2022,24,Extreme Fear
07-10-2022,23,Extreme Fear
06-10-2022,26,Fear
05-10-2022,25,Extreme Fear
04-10-2022,20,Extreme Fear
03-10-2022,24,Extreme Fear
02-10-2022,24,Extreme Fear
01-10-2022,20,Extreme Fear
30-09-2022,21,Extreme Fear
29-09-2022,22,Extreme Fear
28-09-2022,20,Extreme Fear
27-09-2022,20,Extreme Fear
26-09-2022,21,Extreme Fear
25-09-2022,24,Extreme Fear
24-09-2022,24,Extreme Fear
23-09-2022,20,Extreme Fear
22-09-2022,22,Extreme Fear
21-09-2022,23,Extreme Fear
20-09-2022,23,Extreme Fear
19-09-2022,21,Extreme Fear
18-09-2022,27,Fear
17-09-2022,22,Extreme Fear
16-09-2022,20,Extreme Fear
15-09-2022,28,Fear
14-09-2022,27,Fear
13-09-2022,34,Fear
12-09-2022,25,Extreme Fear
11-09-2022,26,Fear
10-09-2022,28,Fear
09-09-2022,22,Extreme Fear
08-09-2022,20,Extreme Fear
07-09-2022,24,Extreme Fear
06-09-2022,22,Extreme Fear
05-09-2022,23,Extreme Fear
04-09-2022,20,Extreme Fear
03-09-2022,21,Extreme Fear
02-09-2022,25,Extreme Fear
01-09-2022,20,Extreme Fear
31-08-2022,23,Extreme Fear
30-08-2022,27,Fear
29-08-2022,24,Extreme Fear
28-08-2022,28,Fear
27-08-2022,28,Fear
26-08-2022,27,Fear
25-08-2022,25,Extreme Fear
24-08-2022,25,Extreme Fear
23-08-2022,28,Fear
22-08-2022,29,Fear
21-08-2022,27,Fear
20-08-2022,29,Fear
19-08-2022,33,Fear
18-08-2022,30,Fear
17-08-2022,41,Fear
16-08-2022,44,Fear
15-08-2022,45,Fear
14-08-2022,47,Neutral
13-08-2022,46,Fear
12-08-2022,42,Fear
11-08-2022,41,Fear
10-08-2022,31,Fear
09-08-2022,42,Fear
08-08-2022,30,Fear
07-08-2022,30,Fear
06-08-2022,31,Fear
05-08-2022,31,Fear
04-08-2022,30,Fear
03-08-2022,34,Fear
02-08-2022,31,Fear
01-08-2022,33,Fear
31-07-2022,39,Fear
30-07-2022,42,Fear
29-07-2022,39,Fear
28-07-2022,32,Fear
27-07-2022,28,Fear
26-07-2022,26,Fear
25-07-2022,30,Fear
24-07-2022,30,Fear
23-07-2022,31,Fear
22-07-2022,33,Fear
21-07-2022,34,Fear
20-07-2022,31,Fear
19-07-2022,30,Fear
18-07-2022,20,Extreme Fear
17-07-2022,24,Extreme Fear
16-07-2022,21,Extreme Fear
15-07-2022,15,Extreme Fear
14-07-2022,18,Extreme Fear
13-07-2022,15,Extreme Fear
12-07-2022,16,Extreme Fear
11-07-2022,22,Extreme Fear
10-07-2022,24,Extreme Fear
09-07-2022,24,Extreme Fear
08-07-2022,20,Extreme Fear
07-07-2022,18,Extreme Fear
06-07-2022,18,Extreme Fear
05-07-2022,19,Extreme Fear
04-07-2022,14,Extreme Fear
03-07-2022,11,Extreme Fear
02-07-2022,14,Extreme Fear
01-07-2022,11,Extreme Fear
30-06-2022,11,Extreme Fear
29-06-2022,13,Extreme Fear
28-06-2022,10,Extreme Fear
27-06-2022,12,Extreme Fear
26-06-2022,14,Extreme Fear
